               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1596,             0.03689,            0.034595,          0.00015405,           0.0015033,          7.7382e-05,          1.5515e-05,             0.15254,            0.072221,            0.035962,            0.070019,           0.0033313,           0.0033313
                   1,             0.14389,            0.045784,            0.022098,           0.0029708,            0.034887,           0.0023217,          0.00053815,             0.14017,            0.086518,            0.021823,            0.039997,           0.0066426,           0.0066426
                   2,              0.1346,            0.058799,            0.019347,             0.72224,            0.046555,            0.027634,           0.0073782,             0.12533,             0.12435,            0.020523,           0.0099526,            0.009932,            0.009932
                   3,             0.12555,            0.068524,            0.018861,             0.75578,            0.067006,             0.05528,            0.015995,             0.11716,             0.12877,            0.019433,            0.009901,            0.009901,            0.009901
                   4,             0.12102,            0.071404,             0.01883,             0.78547,            0.083685,            0.078743,            0.023934,             0.11279,             0.13084,            0.018754,            0.009901,            0.009901,            0.009901
                   5,             0.11879,            0.072828,             0.01824,             0.79238,             0.08724,            0.087887,            0.026855,             0.11188,             0.13212,            0.018535,            0.009868,            0.009868,            0.009868
                   6,             0.11683,            0.072882,             0.01783,             0.81475,             0.10103,             0.10935,            0.034261,             0.10931,             0.12944,            0.018113,            0.009835,            0.009835,            0.009835
                   7,             0.11572,            0.073268,            0.017747,              0.8295,              0.1001,             0.11545,            0.035962,             0.10812,             0.13073,            0.017794,            0.009802,            0.009802,            0.009802
                   8,             0.11519,            0.073935,            0.016996,             0.83389,             0.11475,             0.13188,              0.0434,             0.10698,             0.13161,            0.017415,            0.009769,            0.009769,            0.009769
                   9,              0.1142,            0.072709,            0.017028,             0.83488,             0.11265,             0.13611,             0.04534,             0.10665,             0.13114,            0.017353,            0.009736,            0.009736,            0.009736
                  10,             0.11289,             0.07399,            0.016285,             0.84947,             0.12043,             0.14904,             0.05044,             0.10527,             0.13055,             0.01715,            0.009703,            0.009703,            0.009703
                  11,             0.11211,             0.07315,            0.016037,             0.84888,             0.12039,             0.15732,            0.053471,             0.10468,             0.13054,            0.016906,             0.00967,             0.00967,             0.00967
                  12,             0.11191,            0.072708,              0.0159,             0.22438,             0.20418,             0.16544,            0.056581,             0.10432,              0.1296,            0.016943,            0.009637,            0.009637,            0.009637
                  13,             0.11124,            0.072113,             0.01587,             0.23268,              0.2003,             0.17201,            0.060077,             0.10373,             0.12934,            0.016723,            0.009604,            0.009604,            0.009604
                  14,             0.11049,            0.071557,             0.01568,             0.25619,             0.20652,             0.18161,            0.063562,              0.1031,             0.12942,            0.016408,            0.009571,            0.009571,            0.009571
